,id,text,category
0,1180633752885743616,People at the cinema thinking they got the #JokerMovie  plot like: pic.twitter.com/FULbcu3SBj,PLOT
1,1180633751744913408,I have a new favorite joker @jokermovie #JokerMovie pic.twitter.com/S4wOE3lmQF,
2,1180633723932483584,"⭐⭐⭐⭐⭐ Performance, what a movie #JokerMovie pic.twitter.com/vGun5i7WPW",
3,1180633642198077441,"#JokerMovie was absolutely amazing and ended with a BANG!!! 

A must watch if you're a comic book fan. 
#Joker #MustWatchpic.twitter.com/idTvidHpbE",HYPE
4,1180633577693880321,I just want to give both Arthur Fleck and Gary a hug. #JokerMovie #Joker #JokerFilm,CHARACTERS
5,1180633548556034053,These 3 actors BETTER get nominated or even win an Oscar. #AvengersEndgame #JokerMovie #ITChapterTwopic.twitter.com/Sd9Ele81wz,
6,1180633548136620032,"To me the revelation of #JokerMovie is Todd Philips who we all know for making comedies like Hangover. There are obvious tributes to Scorsese but this is very dark, unsettling and tight- I can’t really think of any parts where film dragged",TALENT
7,1180633487012970497,"And the Oscar goes to ... #JoaquinPhoenix!
Genius Performance 👏🏼👏🏼👏🏼👏🏼

#Joker #JokerMovie",TALENT
8,1180633443396399104,I’m going to see #JokerMovie tomorrow after work since I have to stay at the theatre later when I get off and there’s nothing else showing around the time I get off so I’m a bit nervous seeing this movie but I’m sure it’ll be good to see.,
9,1180633442813382657,My reaction after seeing #JokerMovie is happiness because of sounstrack great directing acting and confirming how bad superficial cruel people are I choose kindness empathy always pic.twitter.com/RPHgTWEO5i,
10,1180633368423272450,#JokerMovie is pure class. best film ive seen in a long time..🤡🤡🤡,
11,1180633321102921729,"Reposting @tycq_x:
Put on a Happy Face 🤡
It's the day of the premiere so here is the last Joker collab w/ @rickandmorty  by @tycq_x .
.
.
.
.
#joker #dccomics #dc #batman #rickandmorty #ricksanchez #adultswim #jokermovie #jokerfanart #illustration #art #dailyart #fanartpic.twitter.com/wCzxbB6HEo",HYPE
12,1180633230568898560,"I just saw #JokerMovie 

Did your theatre have armed security like mine did?
(Guard said ""I'm here cuz of the Joker movie)",
13,1180633211812093953,@jokermovie I walked these steps in the Bronx so many times. Oh how differently I see things now. #JokerMovie #JokerFilmpic.twitter.com/IraksEuDHf,
14,1180633182296784896,Wow. #JokerMovie was so gruesome but true to the character. Can Christopher Nolan call Bale up and finish the #Joker storyline now. I’d pay thru the roof to see that. #Joker,CHARACTERS
15,1180633169336262656,"#JokerMovie ""Why so serious?"" Because there is not one thing funny about this film outside of Joaquin's creepy laugh. It will have you ""on the edge of your seat"" gasping like ""Oh shit!"" regularly. But you've been warned by this thread. Spread the word.Please #TheJoker #JokerMovie",
16,1180633168505737217,"#JokerMovie This film is not for the following:

- Children under 18

- Those who suffer from suicidal ideation. It will be triggering.

- Possibly those who have dealt with family members struggling with suicidal thoughts.",
17,1180633167729811456,"#JokerMovie It shows how everyone - society, the system, bad parenting, & entertainment - are to blame for the mental health epidemic. Outside of maybe a few scenes, I felt no sympathy for The Joker. Like many with emotional struggles, he isn't the only one who had a hand in it.",
18,1180633166328950785,"#JokerMovie As well-written and performed as it is, this film is graphically violent and psychologically disturbing telling the dark tale of what happens when mental illness is not addressed.",
19,1180633164638613506,"#JokerMovie A thread. This film has left me with lingering, startling images 24 hours after seeing it. Yes, Joaquin Phoenix can take the bloody joker crown. But... pic.twitter.com/T5MaDZwUqp",TALENT
20,1178821362753970182,"#ComicBooks #Superheroes #Batgirl #Joker #JokerMovie 

I also have to say, upon thinking about it,
that I really don't want to see #TheKillingJoke in live action.

I just really don't.pic.twitter.com/kZ8CjwCz0X",
21,1178819957410410498,I Did The Beyoncé Countdown “Booooy” Run.   😩🤪💖 #CivilWar2 #CivilWarPotLuck #ARSD #TheGiftLaban #Inktober2019 #MusicMonday #JokerMovie pic.twitter.com/igLIRAIswh,
22,1178818327386492929,"I can't wait for date night!!!!!!! Thanks @ree.la_07 Queen Booboo!!
#HealthisWealth #PleasureIsTreasure #jokermovie
#PureHappiness  #DangDang
#NewLight  #Blessed #Dointhemost #TeamBooBoo #BestLife #positivevibes #Soberlife #ReeLa #relationshipgoals https://ift.tt/2nXHEW6 pic.twitter.com/h1JwEp5vuu",
23,1178818249892548608,This week all about the #JokerMovie my review goes up Thursday night pic.twitter.com/HMlpyIDSRe,
24,1178818226010120192,To prepare for #JokerMovie I watched The King of Comedy. Now I have to go back and listen to the Moroso voicemail @kirkminshow episode so I can better get the references @kirkmin and @BlindMike_ make.,
25,1178818054626693121,"Ahead of Friday's release, #JoaquinPhoenix tells us why #JokerMovie is going to be a hit https://www.theloop.ca/watch/entertainment/movies/joaquin-phoenix-shares-why-joker-is-going-to-be-a-hit/6090782515001/6090345560001/etalk …",TALENT
26,1178817712019181569,"Look, I'm actually pretty interested about that upcoming #JokerMovie thing but for the love of God, the more ya'll keep screaming at me it might cause shootings or something, the more I think you guys need to get off your keyboards and go talk to somebody not on social media ffs",
27,1178816462376570880,Was an amazing season. I wonder if Disney can top it. Looking forward to your #JokerMovie review :D,
28,1178816411461926914,"Joker week starts todau.

#Joker
#jokermovie https://www.instagram.com/p/B3DdgALgSz_/?igshid=1wu9ie7oz3dsa …",
29,1178815358247026689,"Saw a dude dressed up as the Joker riding a motorcycle on my way home from work today. I couldn’t help but smile because we all know what week it is, fam! #JokerMovie",
30,1178815247488049152,Today's update on @jokermovie boycott. We will add @warnerbros to deniro. Interviewers were banned from the red carpet event. Why is LAPD increasing visibility & presence for #JokerMovie ? Should we be scared?,
31,1178815238705168384,War Dogs @jokermovie @TheTopComics #JokerMovie,
32,1178814736563089417,"WE ARE LIVE — Tune in and join the conversation! #DBLtake 

Joaquin Phoenix lost 52 pounds to play the Joker. Will you see the #JokerMovie?

https://www.pscp.tv/w/1YqGodnWjMEJv ",TALENT
33,1178813459896647680,"Which Is Your Most Anticipated October Release?

Comment Unavailable Choices

#JokerMovie #TheAddamsFamily #GeminiMan #JexiMovie #JayAndSilentBobReboot #MaleficentMistressOfEvil #ZombielandDoubleTap #BlackAndBlueMovie",
34,1178812687167262721,Got my ticket for #JokerMovie in #IMAX this Friday. Can’t wait. I’ve been changing the channel or leaving the room every time I hear the trailer music on TV. #NoSpoilers #DCComicspic.twitter.com/vXuLdejIBn,
